,S.No,Date,Startups,Industry Vertical,Sub Vertical,City,Investors,Round,Amount,Remarks
2324,2325,12-10-2015,Zify,Ride Sharing platform,Unknown,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,1.58422,Unknown
2325,2326,12-10-2015,Faircent,Online P2P lending marketplace,Unknown,Gurgaon,Aarin Capital Partners,Private Equity,0.0,Series A
2326,2327,12-10-2015,Bizongo,B2B marketplace for industrial goods,Unknown,Mumbai,Accel Partners,Seed Funding,0.0,Unknown
2327,2328,12-10-2015,Gridle,Cloud Based Collaboration platform,Unknown,Ahmedabad,LetsVenture,Seed Funding,0.8338,Unknown
2328,2329,12-10-2015,Tripoto,global community for travellers,Unknown,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,0.0,Series A
2329,2330,12-10-2015,Mubble,Prepaid Bill manager App,Unknown,Bangalore,Accel Partners,Private Equity,0.0,Series A
2330,2331,13-10-2015,Voodoo,Mobile Only Shopping Assistant,Unknown,New Delhi,SAIF Partners,Seed Funding,8.338,Unknown
2331,2332,13-10-2015,Lookup,Mobile Messaging Assistant App,Unknown,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20.845,Series A
2332,2333,14-10-2015,AskMyGift,Personalized Wish List creator app,Unknown,Noida,Turning Ideas,Seed Funding,0.4169,Unknown
2333,2334,14-10-2015,Gaana.com,Music Streaming mobile app,Unknown,Mumbai,Micromax Informatics Ltd,Private Equity,0.0,Strategic Funding
2334,2335,14-10-2015,Zappfresh,Raw Meat & Ready to eat food etailer,Unknown,Gurgaon,Undisclosed Investors,Seed Funding,0.642026,Unknown
2335,2336,14-10-2015,GymTrekker,Gym Discovery platform,Unknown,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,0.0,Unknown
2336,2337,15-10-2015,Bounty App,Online Purchase rewards app,Unknown,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,0.0,Unknown
2337,2338,16-10-2015,Homers.in,Home rental platform,Unknown,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,0.0,Unknown
2338,2339,16-10-2015,mShipper,Crowdsourced Delivery platform,Unknown,New Delhi,Vijai Laxmi,Seed Funding,0.0,Unknown
2339,2340,16-10-2015,BolRealty,Real Estate Insights platform,Unknown,New Delhi,Manpreet Singh,Seed Funding,0.0,Unknown
2340,2341,17-10-2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,Unknown,Mumbai,Parampara Capital,Private Equity,8.338,Series A
2341,2342,19-10-2015,LetsVenture,Startup Funding Marketplace,Unknown,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,0.0,Series A
2342,2343,19-10-2015,Citrus Payment,Payments Solution platform,Unknown,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,208.45,Series C
2343,2344,19-10-2015,Holidify,Travel Destination Discovery platform,Unknown,New Delhi,Aarti Group,Seed Funding,0.8338,Unknown
2344,2345,20-10-2015,PrimaSeller,Order Fulfillment SAAS platform,Unknown,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,0.0,Unknown
2345,2346,20-10-2015,Opinio,Last Mile Delivery Service,Unknown,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,58.366,Series A
2346,2347,20-10-2015,Attune Technologies,Healthcare IT Solutions & services,Unknown,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,83.38,Series B
2347,2348,20-10-2015,iChef.in,Gourmet Meals Delivery,Unknown,Mumbai,Springboard Ventures,Private Equity,0.0,Unknown
2348,2349,21-10-2015,Jiyo Natural,Healthy Meals Food delivery platform,Unknown,Bangalore,Indian Angel Network,Seed Funding,0.0,Unknown
2349,2350,21-10-2015,AgentDesks,Real Estate Mobile CRM,Unknown,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,24.5971,Unknown
2350,2351,21-10-2015,White Owl Brewery,Micro-Brewery,Unknown,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,12.75714,Series A
2351,2352,21-10-2015,MealHopper,Home Made Food Marketplace,Unknown,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,0.8338,Unknown
2352,2353,21-10-2015,Zenify.in,residential rental management platform,Unknown,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,5.33632,Unknown
2353,2354,21-10-2015,Stockal,Personalized Stock Intelligence Platform,Unknown,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,0.0,Unknown
2354,2355,23-10-2015,Medd,Personal Diagnostic Mobile App,Unknown,Mumbai,Group of Angel investors,Seed Funding,1.2507,Bridge Round
2355,2356,23-10-2015,Leaping Caravan,Online food ordering & Delivery service,Unknown,Gurgaon,Group of Angel investors,Seed Funding,1.2507,Unknown
2356,2357,23-10-2015,Frsh,Online food ordering & Delivery service,Unknown,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,8.338,Bridge Round
2357,2358,23-10-2015,Qik Stay,Hotel Aggregator & booking platform,Unknown,New Delhi,ID Enablers Pvt Ltd,Seed Funding,2.0845,Unknown
2358,2359,26-10-2015,Parcelled,Online Logistics Platform,Unknown,Bangalore,Delhivery,Private Equity,41.69,Unknown
2359,2360,26-10-2015,AlmaMapper,Online Student & Campus Social Networking platform,Unknown,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,3.3352,Unknown
2360,2361,26-10-2015,Flexing It,Professionals & Project Search Marketplace,Unknown,New Delhi,undisclosed private investors,Seed Funding,4.169,Unknown
2361,2362,26-10-2015,Netmeds.com,Online Pharmacy,Unknown,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,416.9,Series A
2362,2363,26-10-2015,Razorpay,Online Payment Gateway,Unknown,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,75.042,Series A
2363,2364,27-10-2015,Jombay,Psychometric Test Online Software,Unknown,Pune,Ventureworks India,Private Equity,0.0,Unknown
2364,2365,27-10-2015,Happitoo,Location based Nightlife recommendation Platform,Unknown,Mumbai,Unnamed investor,Seed Funding,0.642026,Unknown
2365,2366,27-10-2015,Care24,Professional Health Services Platform,Unknown,Mumbai,India Quotient,Seed Funding,2.9183,Unknown
2366,2367,27-10-2015,Roadrunnr,Hyperlocal Logistics Service,Unknown,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,83.38,Series B
2367,2368,27-10-2015,Simpli5d,Online user engagement platform,Unknown,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,0.0,Bridge Funding
2368,2369,28-10-2015,ORIGA Leasing,Asset Financing platform,Unknown,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,9.1718,Unknown
2369,2370,28-10-2015,Smartivity.in,Virtual Reality activity based learning platform,Unknown,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,1.6676,Unknown
2370,2371,28-10-2015,UrDoorStep,Online Grocery Store,Unknown,Bangalore,Jupiter Capital,Private Equity,0.0,Series A
2371,2372,29-10-2015,Tavaga,Investment management platform,Unknown,Mumbai,Tracxn Syndicate,Seed Funding,0.0,Unknown
2372,2373,29-10-2015,Moglix,Industrial Toons Marketplace,Unknown,Noida,"Accel Partner, Jungle Ventures",Private Equity,0.0,pre-Series A
2373,2374,29-10-2015,ZopHop,Public Commute helper App,Unknown,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,3.7521,Unknown
2374,2375,30-10-2015,Niki.ai,Artificial Intelligence Ecommerce Chatbot,Unknown,Bangalore,Unilazer Ventures,Seed Funding,0.0,Unknown
2375,2376,30-10-2015,Instavans,Truck Aggregator & Logistics service,Unknown,Bangalore,Suresh Vaswani,Seed Funding,0.0,Unknown
2376,2377,30-10-2015,LiftO,Ridesharing Mobile app,Unknown,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,1.08394,Unknown
2377,2378,30-10-2015,TinyOwl,Food Discovery & Delivery Mobile app,Unknown,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,62.535,Series B
2378,2379,30-10-2015,Toppr.com,Competitive exam learning platform,Unknown,Mumbai,InnoVen Capital,Private Equity,16.676,Series C
2379,2380,30-10-2015,Kleeto,Document Digitization platform,Unknown,Gurgaon,GREX,Seed Funding,1.91774,pre-Series A
2380,2381,30-10-2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,Unknown,Mumbai,Puneet Bhatia & others,Seed Funding,0.66704,Unknown
2381,2382,31-10-2015,Jugnoo,Autorickshaw Aggregator & Booking platform,Unknown,Chandigarh,Paytm,Private Equity,83.38,Series B
2382,2383,01-09-2015,TOFlo,FinTech Startup Incubation platform,Unknown,Mumbai,Tania Johny Palathinkal,Seed Funding,0.8338,Unknown
2383,2384,01-09-2015,FXMartIndia,Payment Services platform,Unknown,Chandigarh,Flipkart,Private Equity,0.0,Strategic Investment (Majority Stake)
2384,2385,01-09-2015,Stylecracker,Personalized Styling platform,Unknown,Mumbai,Group of HNI investors,Private Equity,8.338,Series A
2385,2386,01-09-2015,Luxuryhues,Luxury goods Shopping Platform,Unknown,Gurgaon,Reliance Capital,Private Equity,7.5042,Series A
2386,2387,02-09-2015,HolaChef,Food Delivery Platform,Unknown,Mumbai,Ratan Tata,Private Equity,0.0,Part of Series A raised in June 2015
2387,2388,02-09-2015,Zivame,Online Lingerie Marketplace,Unknown,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,333.52,Series C
2388,2389,02-09-2015,Capillary Tech,Cloud software solutions,Unknown,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,375.21,Series D
2389,2390,03-09-2015,Jobspire,Job Search Platform,Unknown,Bangalore,Purvi Capital,Seed Funding,2.16788,Unknown
2390,2391,03-09-2015,MeraDoctor,Doctor consultancy Mobile App,Unknown,Mumbai,India Quotient & other investors,Seed Funding,0.0,Unknown
2391,2392,03-09-2015,Vistaar Finance,Small Business Financing (NBFC),Unknown,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,333.52,Unknown
2392,2393,03-09-2015,HiJinny,Beauty & Wellness Services Marketplace,Unknown,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,0.0,Unknown
2393,2394,04-09-2015,Clapsnslaps,Online Movie Review Platform,Unknown,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,1.2507,Unknown
2394,2395,04-09-2015,Blubox,ECommerce Brands Full Service Agency,Unknown,Mumbai,Ashish Jhalani,Seed Funding,0.8338,Unknown
2395,2396,04-09-2015,RoomCentral,Cloud-based Hotel Booking Platform,Unknown,Bangalore,Karanpal Singh,Seed Funding,16.676,Unknown
2396,2397,07-09-2015,YouthKiAwaaz,Community Driven News/Views Platform,Unknown,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,5.0028,Unknown
2397,2398,07-09-2015,Prozo,Study Material Marketplace,Unknown,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,1.70929,Unknown
2398,2399,07-09-2015,Zomato,Restaurant Ratings & Reviews platform,Unknown,Gurgaon,"Temasek, Vy Capital",Private Equity,500.28,Late Stage
2399,2400,07-09-2015,Sahayog Dairy,Dairy Based Product Manufacturer,Unknown,Bhopal,Acumen Fund,Private Equity,15.0084,Series A
2400,2401,08-09-2015,MockBank,Government Test Preparation platform,Unknown,Bangalore,Blume Ventures,Seed Funding,3.3352,Unknown
2401,2402,08-09-2015,ReportBee,Smart Report Cards for Schools,Unknown,Chennai,India Educational Investment Fund,Seed Funding,0.0,Unknown
2402,2403,08-09-2015,GuruG Learning,Teacher empowerment platform,Unknown,Bangalore,India Educational Investment Fund,Seed Funding,0.0,Unknown
2403,2404,10-09-2015,OnlineTyari,Multilingual Test Preparation Platform,Unknown,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.42026,Series A
2404,2405,10-09-2015,IndustryBuying,Industrial Tools Marketplace,Unknown,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,76.7096,Series B
2405,2406,10-09-2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,Unknown,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,2.62647,Unknown
2406,2407,11-09-2015,FitMeIn,Gym & Fitness Studios Subscription platform,Unknown,New Delhi,Green House Ventures,Seed Funding,0.8338,Unknown
2407,2408,11-09-2015,Envoged,pre-used luxury item Marketplace,Unknown,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,0.0,Unknown
2408,2409,11-09-2015,Zapyle,pre-used apparel shopping mobile app,Unknown,Bangalore,Unknown,Seed Funding,8.338,Unknown
2409,2410,11-09-2015,Renomania,Home Design & platform,Unknown,New Delhi,Subodh Gupta,Seed Funding,0.0,Unknown
2410,2411,12-09-2015,CredR,Used Vehicles Marketplace,Unknown,Mumbai,Eight Road Ventures,Private Equity,125.07,Series A
2411,2412,12-09-2015,YatraGenie,Online Bus & Cab ticketing platform,Unknown,Hyderabad,Ash Bhardwaj,Private Equity,0.0,Series A
2412,2413,14-09-2015,CanvasFlip,Mobile App testing platform,Unknown,Hyderabad,Bessemer Venture Partners,Seed Funding,10.0056,Unknown
2413,2414,14-09-2015,Shadowfax,Hyperlocal Delivery Services,Unknown,Gurgaon,Eight Roads Ventures,Private Equity,75.042,Series A
2414,2415,14-09-2015,UE Life Sciences,Early Cancer Detection Solutions,Unknown,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,25.014,Series A
2415,2416,14-09-2015,Ola Cabs,Cab rental Mobile app,Unknown,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,1876.05,Late Stage
2416,2417,15-09-2015,Coverfox,Online Insurance Distribution Platform,Unknown,Mumbai,Cataraman Ventures,Private Equity,16.676,Part of $12M Series B funding
2417,2418,15-09-2015,MoEngage,Mobile Marketing Automation Platform,Unknown,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,35.4365,Series A
2418,2419,15-09-2015,Mubble,Prepaid Mobile Bill Manager App,Unknown,Bangalore,Nandan Nilekani,Seed Funding,0.0,Unknown
2419,2420,15-09-2015,Tea Trails,Chain of Tea Cafe,Unknown,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,8.338,Unknown
2420,2421,15-09-2015,Room on Call,Branded Budget Hotel Marketplace,Unknown,Noida,Payal Syal,Seed Funding,2.5014,Unknown
2421,2422,15-09-2015,FYNE,Home Fitting & Fixtures Marketplace,Unknown,Bangalore,Sandeep Dama & Others,Seed Funding,0.0,Pre-Series A
2422,2423,16-09-2015,ChaiPoint,Food Subscription platform,Unknown,Bangalore,Eight Roads Ventures,Private Equity,83.38,Series A
2423,2424,16-09-2015,WedmeGood.com,Wedding Planning Platform,Unknown,Gurgaon,Indian Angel Network,Seed Funding,3.41858,Unknown
2424,2425,16-09-2015,XSTOK,B2B Mobile Auction Marketplace,Unknown,Mumbai,Oliphans Capital,Seed Funding,3.7521,Unknown
2425,2426,17-09-2015,UniLog,ECommerce Data Analytics Platform,Unknown,Bangalore,Kalaari Capital,Private Equity,0.0,Unknown
2426,2427,17-09-2015,Paintcollar,Designer Merchandize Marketplace,Unknown,Mumbai,Applyifi,Seed Funding,0.0,Bridge Funding
2427,2428,17-09-2015,YepMe,Private label Fashion eTailer,Unknown,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,625.35,Series D
2428,2429,17-09-2015,Bueno,Online Food ordering & delivery,Unknown,Gurgaon,High Networth Individuals (No details),Seed Funding,5.0028,Unknown
2429,2430,18-09-2015,Plabro,Real Estate Broker Platform App,Unknown,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,2.9183,Unknown
2430,2431,18-09-2015,CureJoy,Online Health & Wellness platform,Unknown,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,9.5887,Pre-Series A
2431,2432,18-09-2015,Briston Technomach,Internet of Things platform,Unknown,New Delhi,Undisclosed,Seed Funding,1.2507,Unknown
2432,2433,18-09-2015,LabStreet,Diagnostic Labs aggregator platform,Unknown,Gurgaon,Multiple investors,Seed Funding,1.2507,Unknown
2433,2434,19-09-2015,DailyNinja,Hyperlocal Delivery Platform,Unknown,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,0.0,Unknown
2434,2435,21-09-2015,Portea Medical,Home Medical Care Services,Unknown,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,312.675,Unknown
2435,2436,21-09-2015,Neotrade Analytics,Real-Time stock data platform,Unknown,Bangalore,Rainmatter,Seed Funding,1.95943,Unknown
2436,2437,21-09-2015,DishCo,Food discovery & table booking app,Unknown,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,0.0,Unknown
2437,2438,21-09-2015,LafaLafa,coupons and cashback aggregator app,Unknown,Mumbai,500 Startups,Seed Funding,1.04225,thru Accelerator
2438,2439,21-09-2015,ConnectAbank,Financial Products lead generation platform,Unknown,Mumbai,Prakhar Bumb,Seed Funding,0.0,Unknown
2439,2440,22-09-2015,VillFarm,Sustainable Agri-inputs Firm,Unknown,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,0.0,Unknown
2440,2441,22-09-2015,Bestdealfinance,Financial Services Portal,Unknown,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,25.014,Series A
2441,2442,22-09-2015,GameXS.in,Pre-owned games Marketplace,Unknown,New Delhi,Lead Angels,Seed Funding,0.0,Unknown
2442,2443,22-09-2015,The Man Company,Content-based Subscription eCommerce platform,Unknown,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,0.0,Unknown
2443,2444,22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Unknown,Bangalore,Swarnim Multiventures,Private Equity,6.6704,Pre-Series A
2444,2445,22-09-2015,Furdo,Online Interior Designing platform,Unknown,Bangalore,Bhavdeep Reddy,Seed Funding,3.3352,Unknown
2445,2446,22-09-2015,LogiNext,End-to-end Logistics platform,Unknown,Mumbai,Paytm,Private Equity,83.38,Series A
2446,2447,22-09-2015,Korra,Private Label Apparel sales,Unknown,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,2.5014,Unknown
2447,2448,23-09-2015,Credihealth,Healthcare Consulting platform,Unknown,Gurgaon,Rajat Malhotra,Seed Funding,0.0,Unknown
2448,2449,23-09-2015,Amigobulls,Stock Market Portal,Unknown,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,0.0,Unknown
2449,2450,23-09-2015,SilverPush,Cross-device retargeting platform,Unknown,Gurgaon / SFO,M&S Partners,Private Equity,10.0056,Series A
2450,2451,23-09-2015,Juggernaut,Digital & Physical Publishing platform,Unknown,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,18.7605,Series A
2451,2452,23-09-2015,InnerChef,Food Delivery Platform,Unknown,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,14.5915,pre-Series A
2452,2453,24-09-2015,Quintype,Data Driven Publishing platform,Unknown,Bangalore,Raghav Bahl,Private Equity,27.5154,Unknown
2453,2454,24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,Unknown,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,3.3352,Unknown
2454,2455,24-09-2015,Fourth Partner Energy,Solar Power Solutions company,Unknown,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,16.676,Series A
2455,2456,24-09-2015,Licious,Online Meat Ordering platform,Unknown,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,8.338,Unknown
2456,2457,25-09-2015,TravelKhana,online meal-booking platform for train travelers,Unknown,New Delhi,Astarc Ventures & Others,Seed Funding,0.0,Pre-Series A
2457,2458,28-09-2015,Quickli,hyperlocal delivery platform,Unknown,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,0.0,Unknown
2458,2459,28-09-2015,Ola Cabs,Cab Booking app platform,Unknown,Bangalore,Didi Kuaidi,Private Equity,250.14,late Stage (part of $500M funding rnd)
2459,2460,29-09-2015,Paytm,E-Commerce & M-Commerce platform,Unknown,New Delhi,"Alibaba Group, Ant Financial",Private Equity,5669.84,Late Stage (Alibaba @ 40% equity)
2460,2461,29-09-2015,Inmobi,Mobile Advertising platform,Unknown,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,833.8,Late Stage
2461,2462,29-09-2015,Peppertap,Hyperlocal Grocery Delivery,Unknown,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,300.168,Series B
2462,2463,29-09-2015,Hugefly,Ecommerce Product recommendation platform,Unknown,Pune,Mayank Singhal and others,Seed Funding,0.0,Unknown
2463,2464,29-09-2015,Brigge,Activity Based Social Network,Unknown,Chennai,The Chennai Angels,Seed Funding,0.0,Unknown
2464,2465,29-09-2015,Zakoopi,Fashion Discovery platform,Unknown,New Delhi,Uniqorn Ventures,Seed Funding,2.9183,Unknown
2465,2466,29-09-2015,LoanCircle,Consumer lending marketplace,Unknown,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,0.0,Unknown
2466,2467,30-09-2015,Infoworks,Big Data Management Platform,Unknown,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,41.69,Unknown
2467,2468,30-09-2015,RedDoorz,Budget Accommodation Platform,Unknown,Noida,Jungle Ventures,Seed Funding,8.338,Unknown
2468,2469,30-09-2015,FirstTouch,Local Mobile OS,Unknown,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,0.0,Super angel round
2469,2470,30-09-2015,Eywa Media,Digital Signal processing platform,Unknown,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,8.338,Unknown
2470,2471,01-08-2015,Snapdeal,Ecommerce Marketplace,Unknown,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4169.0,Late Stage Round 7th (More details)
2471,2472,01-08-2015,Ressy,Restaurant Discount app,Unknown,Pune,Mohandas Pai & others,Seed Funding,3.3352,Unknown
2472,2473,03-08-2015,Cuelearn,Tech-enabled learning,Unknown,New Delhi,Alok Mittal,Seed Funding,0.0,Unknown
2473,2474,03-08-2015,Connect India,ECommerce Logistics provider,Unknown,New Delhi,Aavishkaar,Private Equity,41.69,Series A
2474,2475,03-08-2015,The Home Salon,on-demand home beauty and wellness portal,Unknown,Mumbai,VentureNursery,Seed Funding,0.0,Unknown
2475,2476,03-08-2015,Jusride,Self Driven Car rental,Unknown,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,0.0,Unknown
2476,2477,03-08-2015,Oyorooms,Budget Hotel accommodation brand,Unknown,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India",Private Equity,833.8,Series B
2477,2478,03-08-2015,Glowship,Energy & Environment Online Marketplace,Unknown,Bangalore,Infuse Ventures,Seed Funding,0.0,Unknown
2478,2479,03-08-2015,Wizrocket,User Engagment & Analytics platform,Unknown,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,80.0448,Series B
2479,2480,04-08-2015,Pickingo,On-Demand Delivery Logistics,Unknown,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.8394,Series A
2480,2481,05-08-2015,Grex,fund raising platform for startups,Unknown,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,5.4197,Unknown
2481,2482,05-08-2015,LetsTransport,Logistics Tech Platform,Unknown,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,10.8394,Unknown
2482,2483,05-08-2015,Zo Rooms,Online budget hotel chain,Unknown,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,250.14,Series A
2483,2484,05-08-2015,Doormint,Hyperlocal Handyman services,Unknown,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,25.014,Series A
2484,2485,05-08-2015,NightStay,hotel booking app,Unknown,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,4.169,Unknown
2485,2486,05-08-2015,Zocalo,Rental Accomodation finder,Unknown,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,0.0,Unknown
2486,2487,05-08-2015,Sunday Realty Solutions,Tech Platform for property brokers,Unknown,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,6.54533,Unknown
2487,2488,06-08-2015,Klozee,Luxury Apparel rental,Unknown,Bangalore,Tracxn Labs,Seed Funding,0.0,Unknown
2488,2489,06-08-2015,Appvigil,App security testing platform,Unknown,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,4.169,pre Series-A
2489,2490,06-08-2015,practo,Doctor Appointment booking app,Unknown,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,750.42,Series C
2490,2491,06-08-2015,LoudShout,anonymous bulletin board app,Unknown,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,0.0,Unknown
2491,2492,06-08-2015,Wetravelsolo,Travel community platform,Unknown,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,0.0,Unknown
2492,2493,06-08-2015,Ketto,Crowd funding platform,Unknown,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,5.8366,Unknown
2493,2494,06-08-2015,Ezetap,Mobile based PoS solution,Unknown,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,208.45,Series C
2494,2495,06-08-2015,NDTV ecommerce venture,Car & Bike ecommerce platform,Unknown,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,0.0,Series A
2495,2496,07-08-2015,Carl\\xe2\\x80\\x99s Jr,Fast food Chain Franchisee,Unknown,Gurgaon,YouWeCan Ventures,Seed Funding,5.25294,Unknown
2496,2497,07-08-2015,EasyRewardz,Loyalty Programs & Reward Points,Unknown,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.169,Pre-Series A
2497,2498,07-08-2015,GIBSS,Energy saving solutions provider,Unknown,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,0.0,Series A
2498,2499,07-08-2015,StoreMore.in,Self-Storage Spaces,Unknown,Noida,Bedrock Ventures,Seed Funding,0.0,Unknown
2499,2500,07-08-2015,iOrderFresh,Grocery retail Mobile app,Unknown,New Delhi,Best Foodworks,Seed Funding,0.0,Unknown
2500,2501,10-08-2015,MyTaxiIndia,Taxi Rental platform,Unknown,Gurgaon,"Nihon Kotsu,",Private Equity,4.169,Pre Series-A
